venue_name,lat,lng
Rotunda Theatre,55.9533,-3.1883
Le Monde,55.9534973,-3.1960943
Galerie Mirages,55.9592689,-3.2121092
PBH's Free Fringe @ Greek Gyros Grill,55.9533,-3.1883
Meeting Point at Uplands Roast Coffee Shop,55.9533,-3.1883
Edinburgh New Town Church,55.9575316,-3.1904375
theSpace @ Niddry St,55.9533,-3.1883
Teatro Fisico,55.9533,-3.1883
The Liquid Room,55.9485211,-3.1937338
Greyfriars Hall at Virgin Hotels Edinburgh,55.9533,-3.1883
PBH's Free Fringe @ Fingers Piano Bar,55.9533,-3.1883
The Speakeasy at The Royal Scots Club,55.9533,-3.1883
Valvona & Crolla,55.9588413,-3.1831632
Paradise in The Vault,55.9533,-3.1883
theSpace on the Mile,55.9533,-3.1883
PBH's Free Fringe @ Uno Mas,55.9533,-3.1883
Monkey Barrel Comedy (Cabaret Voltaire),55.9533,-3.1883
Hoots @ Potterrow,55.9533,-3.1883
PBH's Free Fringe @ Liquid Room,55.9533,-3.1883
"Underbelly, George Square",55.9533,-3.1883
PBH's Free Fringe @ The Street,55.9533,-3.1883
Laughing Horse @ The Brass Monkey,55.9533,-3.1883
"Underbelly, Bristo Square",55.9533,-3.1883
artSpace@StMarks,55.9533,-3.1883
Canongate Kirk,55.9518201,-3.1796423
Alba Flamenca,55.9439525,-3.1820438
Basement at The Gilded Saloon,55.9533,-3.1883
PBH's Free Fringe @ Banshee Labyrinth,55.9533,-3.1883
Lower Hall at Braw Venues @ Grand Lodge,55.9533,-3.1883
Monkey Barrel Comedy at O'Neill's (The Tron),55.9533,-3.1883
Art Glass Studio 34,55.9533,-3.1883
Frankenstein Pub,55.94738,-3.1917057
Krua Thai Cookery School,55.9185719,-3.1668907
St Cuthbert's Church,55.9075503,-3.2541662
Braw Venues @ Hill Street,55.9533,-3.1883
Gilded Balloon at the Museum,55.9533,-3.1883
PBH's Free Fringe @ Southsider,55.9533,-3.1883
Monkey Barrel Comedy,55.9493913,-3.1878844
Assembly Roxy,55.947418,-3.1841339
Lily Luna Edinburgh Jewellery Boutique,55.9533,-3.1883
PBH's Free Fringe @ Bannermans,55.9533,-3.1883
St Cecilia's Hall,55.9489831,-3.1864337
PBH's Free Fringe @ CC Blooms,55.9533,-3.1883
The Three Sisters,55.9533,-3.1883
St Vincent's,55.9582099,-3.2036841
Pleasance Pop Up: Leith Arches,55.9533,-3.1883
Ukrainian Community Centre,55.9533,-3.1883
Bedlam Theatre,55.9462364,-3.1906227
Assembly George Square Gardens,55.9533,-3.1883
Arch Room at PBH's Free Fringe @ Whistlebinkies,55.9533,-3.1883
Underbelly’s Circus Hub on the Meadows,55.9533,-3.1883
theSpace @ Venue 45,55.9533,-3.1883
Just the Tonic at La Belle Angele,55.9533,-3.1883
French Institute in Scotland,55.9533,-3.1883
Inverleith St Serf's Church Centre,55.9719733,-3.2053256
The Royal Scots Club,55.9563084,-3.1978828
Studio at Braw Venues @ Grand Lodge,55.9533,-3.1883
Nicolson Square Venues,55.9454808,-3.1857139
The Stand Comedy Club 3 & 4,55.9533,-3.1883
The Stand Comedy Club,55.9557169,-3.1922867
Dynamic Earth,55.9505288,-3.1744175
PBH's Free Fringe @ Carbon,55.9533,-3.1883
National,55.950885,-3.1956117
St Giles' Cathedral,55.9494789,-3.1908519
City of Edinburgh Tours @ Old Police Box,55.9533,-3.1883
Pleasance at EICC,55.9533,-3.1883
Stramash,55.9485629,-3.1877983
St Columba's by the Castle Scottish Episcopal Church,55.9533,-3.1883
St Ninian's Hall,55.9533,-3.1883
Castle Hall at Pleasance Grassmarket,55.9533,-3.1883
South Gallery at Dovecot Studios,55.9533,-3.1883
Just The Tonic at Subway,55.9533,-3.1883
Leith Depot,55.9682176,-3.1741393
YOTEL Edinburgh,55.953285,-3.2058364
LifeCare Centre,55.9582343,-3.212847
Meeting Point at Bridgend Farmhouse,55.9533,-3.1883
Outside Greyfriars Bobby Bar,55.9533,-3.1883
The High Street Wellhead,55.9533,-3.1883
Meeting Point at Edinburgh's Festival Theatre (Next to the Festival Theatre Café side door),55.9533,-3.1883
Viewing Balcony at Dovecot Studios,55.9533,-3.1883
Outside Scottish Poetry Library,55.9533,-3.1883
Statue of Sir James Young Simpson,55.9533,-3.1883
Greyfriars Kirk,55.9466374,-3.1922711
Old Saint Paul's Church,55.9509659,-3.1870883
Stockbridge Church,55.9602829,-3.206891
The Queen's Hall,55.9411983,-3.181844
The Cumberland Bar,55.9533,-3.1883
Edinburgh City Chambers (Meeting Point),55.9533,-3.1883
Woolkind HQ,55.9533,-3.1883
Vegan Tipples,55.9533,-3.1883
The Salvation Army Edinburgh City Corps,55.9533,-3.1883
"Meeting Point at Cockburn St, corner of Fleshmarket Close",55.9533,-3.1883
Modern,55.9518474,-3.2240962
PBH's Free Fringe @ Pilgrim,55.9533,-3.1883
C ARTS | C venues | C digital,55.9533,-3.1883
The Edinburgh Academy,55.9607583,-3.2056047
Ps & Gs Church,55.9533,-3.1883
Duncan Street Baptist Church,55.9352809,-3.1783863
The Famous Spiegeltent,55.9533,-3.1883
Scott Lawrie Gallery,55.9461271,-3.2065051
Novotel,55.9266926,-3.3110485
Monkey Barrel Comedy (Niddry Street),55.9533,-3.1883
Binkies Lounge at PBH's Free Fringe @ Whistlebinkies,55.9533,-3.1883
Laughing Horse @ Coco Boho,55.9533,-3.1883
PBH's Free Fringe @ Strathmore Bar,55.9533,-3.1883
Blackford and Grange,55.9533,-3.1883
Eric Liddell Community,55.9339754,-3.2097405
Tipsy Midgie,55.9434608,-3.1781795
Library of Mistakes,55.9504956,-3.213312
Royal College of Physicians of Edinburgh,55.954894,-3.1965439
Broughton St Mary’s Parish Church,55.9533,-3.1883
The Scotch Malt Whisky Society - Queen Street,55.9544956,-3.1996255
ætla Fine Jewellery,55.9533,-3.1883
Beaverhall Art Studios,55.9533,-3.1883
Dundas Street Gallery,55.9533,-3.1883
Mansfield Traquair Centre,55.9596977,-3.1904218
Royal College of Nursing Scotland,55.9288717,-3.1949275
Dr Neil's Garden,55.9409031,-3.1491976
Arthur Conan Doyle Centre,55.9492866,-3.2180205
Outhouse Bar,55.9573347,-3.1870575
St John's Church,55.9500431,-3.2064834
The Magdalen Chapel,55.9479778,-3.1924654
Sacred Heart Church,55.9449883,-3.2016762
St James Goldenacre,55.9704939,-3.208938
St Michael and All Saints,55.9432239,-3.2014904
Cathedral Nave at St Mary's Catholic Cathedral,55.9533,-3.1883
Canonmills Church,55.9627013,-3.1983375
Palmerston Place Church,55.9473613,-3.2162368
Lochrin Rooftop Bar,55.9426678,-3.2107375
Tigerlily,55.9523991,-3.2052223
C ARTS | C venues | C aurora,55.9533,-3.1883
St Mary's Episcopal Cathedral,55.9486119,-3.2161459
Storytelling Court at Scottish Storytelling Centre,55.9533,-3.1883
Committee Room at Braw Venues @ Grand Lodge,55.9533,-3.1883
Sneaky Pete's,55.9481713,-3.191479
PBH's Free Fringe @ BrewDog Doghouse Hotel,55.9533,-3.1883
Tynecastle Park,55.9390197,-3.2322709
Fruitmarket,55.9512554,-3.1899624
"Museum of Magic, Fortune-Telling and Witchcraft",55.9533,-3.1883
Lauriston Castle,55.9712056,-3.27864
The Stand at The Scotsman,55.9533,-3.1883
The Scotch Malt Whisky Society - The Vaults ,55.9533,-3.1883
Ginger Twist Studio,55.9570568,-3.1702999
Meeting Room at Dovecot Studios,55.9533,-3.1883
St Johns – West End Fair ,55.9533,-3.1883
The Mother Superior,55.9690697,-3.1733366
